n02268443	dragonfly	[lemma] was *_VERB: 	[lemma] is *_VERB: dragonfly is called, dragonfly is shown	*_ADJ [lemma]: adult dragonfly, blue dragonfly, giant dragonfly, green dragonfly, large dragonfly, male dragonfly, red dragonfly, small dragonfly, winged dragonfly, young dragonfly	[lemma] in the *: 	*_NOUN [lemma]: adult dragonfly, darner dragonfly, emerald dragonfly, hawker dragonfly, skimmer dragonfly, zone dragonfly
n01443537	Carassius auratus	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Goldfish Carassius auratus, goldfish Carassius auratus	[lemma] in the *: 	*_NOUN [lemma]: carp Carassius auratus, fish Carassius auratus
n02108089	boxer	[lemma] was *_VERB: boxer was bound, boxer was knocked	[lemma] is *_VERB: boxer is considered, boxer is knocked, boxer is regarded, boxer is said	*_ADJ [lemma]: amateur boxer, best boxer, expert boxer, famous boxer, former boxer, good boxer, great boxer, professional boxer, skilful boxer, young boxer	[lemma] in the *: boxer in the Navy, boxer in the United, boxer in the army, boxer in the course, boxer in the early, boxer in the history, boxer in the ring, boxer in the school, boxer in the use, boxer in the world	*_NOUN [lemma]: Gloves boxer, London boxer, boy boxer, capital boxer, champion boxer, heavyweight boxer, middleweight boxer, negro boxer, shadow boxer, weight boxer
n02093256	Staffordshire bullterrier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02093256	Staffordshire bull terrier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02096437	Dandie Dinmont	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: genuine Dandie Dinmont, honest Dandie Dinmont, original Dandie Dinmont	[lemma] in the *: 	*_NOUN [lemma]: Terrier Dandie Dinmont
n02096437	Dandie Dinmont terrier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02172182	dung beetle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: African dung beetle, Australian dung beetle, black dung beetle, common dung beetle, female dung beetle, giant dung beetle, huge dung beetle, large dung beetle, old dung beetle, sacred dung beetle	[lemma] in the *: 	*_NOUN [lemma]: 
n03617480	kimono	[lemma] was *_VERB: kimono was embroidered, kimono was made, kimono was worn	[lemma] is *_VERB: kimono is cut, kimono is folded, kimono is made, kimono is worn	*_ADJ [lemma]: Japanese kimono, black kimono, blue kimono, ceremonial kimono, flowered kimono, formal kimono, new kimono, pink kimono, red kimono, white kimono	[lemma] in the *: 	*_NOUN [lemma]: bath kimono, cotton kimono, crepe kimono, flannel kimono, night kimono, satin kimono, silk kimono, summer kimono, wedding kimono, winter kimono
n04584207	wig	[lemma] was *_VERB: wig was combed, wig was dressed, wig was dripping, wig was finished, wig was made, wig was put, wig was replaced, wig was sent, wig was thrown, wig was worn	[lemma] is *_VERB: wig is caught, wig is curled, wig is dashed, wig is fastened, wig is left, wig is made, wig is removed, wig is tied, wig is used, wig is worn	*_ADJ [lemma]: black wig, bottomed wig, brown wig, flaxen wig, large wig, long wig, new wig, powdered wig, red wig, white wig	[lemma] in the *: wig in the House, wig in the air, wig in the first, wig in the glass, wig in the middle, wig in the mirror, wig in the other, wig in the process, wig in the style, wig in the window	*_NOUN [lemma]: Lud wig, Ramillies wig, bag wig, bob wig, campaign wig, cauliflower wig, horsehair wig, pigtail wig, scratch wig, tie wig
n02101006	Gordon setter	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: beautiful Gordon setter, fine Gordon setter, old Gordon setter	[lemma] in the *: 	*_NOUN [lemma]: 
n03781244	monastery	[lemma] was *_VERB: monastery was built, monastery was dedicated, monastery was destroyed, monastery was dissolved, monastery was erected, monastery was established, monastery was founded, monastery was granted, monastery was situated, monastery was suppressed	[lemma] is *_VERB: monastery is built, monastery is called, monastery is described, monastery is given, monastery is located, monastery is mentioned, monastery is placed, monastery is said, monastery is situated, monastery is supposed	*_ADJ [lemma]: Benedictine monastery, Buddhist monastery, Carthusian monastery, Franciscan monastery, ancient monastery, famous monastery, great monastery, new monastery, old monastery, own monastery	[lemma] in the *: monastery in the city, monastery in the diocese, monastery in the island, monastery in the isle, monastery in the mountains, monastery in the neighbourhood, monastery in the place, monastery in the town, monastery in the world, monastery in the year	*_NOUN [lemma]: Jetavana monastery, Nalanda monastery, Norman monastery, Trinity monastery, Zen monastery, cathedral monastery, century monastery, island monastery, mother monastery, mountain monastery
n02087394	Rhodesian ridgeback	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n01518878	ostrich	[lemma] was *_VERB: ostrich was found, ostrich was seen	[lemma] is *_VERB: ostrich is called, ostrich is described, ostrich is found, ostrich is hunted, ostrich is known, ostrich is said, ostrich is supposed	*_ADJ [lemma]: African ostrich, American ostrich, Black ostrich, black ostrich, female ostrich, great ostrich, large ostrich, male ostrich, white ostrich, young ostrich	[lemma] in the *: ostrich in the desert, ostrich in the flowering, ostrich in the same, ostrich in the sand, ostrich in the wilderness	*_NOUN [lemma]: baby ostrich, cock ostrich, dozen ostrich, fleet ostrich, head ostrich, heads ostrich, hen ostrich, imitation ostrich, mother ostrich, time ostrich
n01518878	Struthio camelus	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: ostrich Struthio camelus	[lemma] in the *: 	*_NOUN [lemma]: Ostrich Struthio camelus, ostrich Struthio camelus
n04265275	space heater	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: burning space heater, electric space heater, faulty space heater, fired space heater, little space heater, old space heater, portable space heater, small space heater, solar space heater, unvented space heater	[lemma] in the *: space heater in the corner, space heater in the living	*_NOUN [lemma]: Electric space heater, gas space heater, kerosene space heater, oil space heater, propane space heater
n02112706	Brabancon griffon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02443484	black-footed ferret	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02443484	ferret	[lemma] was *_VERB: ferret was found, ferret was put	[lemma] is *_VERB: ferret is muzzled, ferret is put, ferret is used	*_ADJ [lemma]: female ferret, footed ferret, green ferret, little ferret, old ferret, red ferret, small ferret, such ferret, white ferret, young ferret	[lemma] in the *: ferret in the house, ferret in the shape	*_NOUN [lemma]: baby ferret, comet ferret, dog ferret, eyes ferret, others ferret, pet ferret, police ferret, silk ferret, tax ferret, time ferret
n02443484	Mustela nigripes	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: ferret Mustela nigripes
n03729826	matchstick	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: broken matchstick, burnt matchstick, large matchstick, little matchstick, long matchstick, pointed matchstick, sharpened matchstick, thin matchstick, used matchstick, wooden matchstick	[lemma] in the *: matchstick in the corner	*_NOUN [lemma]: cup matchstick
n02091635	otterhound	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02091635	otter hound	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02094114	Norfolk terrier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02389026	sorrel	[lemma] was *_VERB: sorrel was found, sorrel was turned, sorrel was used	[lemma] is *_VERB: sorrel is used	*_ADJ [lemma]: French sorrel, Sheep sorrel, big sorrel, common sorrel, fine sorrel, light sorrel, little sorrel, old sorrel, red sorrel, wild sorrel	[lemma] in the *: sorrel in the morning	*_NOUN [lemma]: Field sorrel, Wood sorrel, chestnut sorrel, field sorrel, garden sorrel, herb sorrel, horse sorrel, mountain sorrel, sheep sorrel, wood sorrel
n02086646	Blenheim spaniel	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: little Blenheim spaniel, wheezy Blenheim spaniel	[lemma] in the *: 	*_NOUN [lemma]: 
n02777292	balance beam	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: foot balance beam, high balance beam, horizontal balance beam, inch balance beam, long balance beam, low balance beam, narrow balance beam, simple balance beam, wide balance beam	[lemma] in the *: 	*_NOUN [lemma]: 
n02777292	beam	[lemma] was *_VERB: beam was directed, beam was fixed, beam was focused, beam was found, beam was laid, beam was made, beam was placed, beam was reflected, beam was sent, beam was used	[lemma] is *_VERB: beam is deflected, beam is directed, beam is fixed, beam is loaded, beam is made, beam is reflected, beam is shown, beam is subjected, beam is supported, beam is used	*_ADJ [lemma]: continuous beam, horizontal beam, laser beam, light beam, main beam, narrow beam, parallel beam, primary beam, ray beam, simple beam	[lemma] in the *: beam in the barn, beam in the ceiling, beam in the direction, beam in the eye, beam in the form, beam in the house, beam in the middle, beam in the plane, beam in the roof, beam in the same	*_NOUN [lemma]: balance beam, cantilever beam, electron beam, feet beam, floor beam, incident beam, ion beam, laser beam, reference beam, steel beam
n02090721	Irish wolfhound	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: huge Irish wolfhound, old Irish wolfhound	[lemma] in the *: 	*_NOUN [lemma]: 
n02167151	ground beetle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: European ground beetle, black ground beetle, common ground beetle, green ground beetle, large ground beetle, northern ground beetle, predaceous ground beetle, predatory ground beetle	[lemma] in the *: 	*_NOUN [lemma]: violet ground beetle
n02167151	carabid beetle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02097209	standard schnauzer	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02916936	bulletproof vest	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Kevlar bulletproof vest, heavy bulletproof vest	[lemma] in the *: 	*_NOUN [lemma]: 
n03272562	electric locomotive	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Diesel electric locomotive, diesel electric locomotive, first electric locomotive, modern electric locomotive, new electric locomotive, powerful electric locomotive, practical electric locomotive, small electric locomotive, ton electric locomotive, turbine electric locomotive	[lemma] in the *: electric locomotive in the United, electric locomotive in the world	*_NOUN [lemma]: diesel electric locomotive
n03452741	grand piano	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Steinway grand piano, black grand piano, fine grand piano, large grand piano, magnificent grand piano, modern grand piano, new grand piano, old grand piano, small grand piano, splendid grand piano	[lemma] in the *: grand piano in the center, grand piano in the corner, grand piano in the drawing, grand piano in the living, grand piano in the middle, grand piano in the music, grand piano in the parlor, grand piano in the recess, grand piano in the room, grand piano in the salon	*_NOUN [lemma]: Bechstein grand piano, Broadwood grand piano, Chickering grand piano, Hamlin grand piano, Knabe grand piano, Steinway grand piano, baby grand piano, concert grand piano, parlor grand piano, state grand piano
n03452741	grand	[lemma] was *_VERB: grand was going	[lemma] is *_VERB: grand is conveyed, grand is going	*_ADJ [lemma]: first grand, great grand, last grand, many grand, new grand, other grand, same grand, second grand, such grand, un grand	[lemma] in the *: grand in the calm, grand in the conception, grand in the distance, grand in the elements, grand in the extreme, grand in the highest, grand in the human, grand in the idea, grand in the pride, grand in the way	*_NOUN [lemma]: County grand, baby grand, concert grand, county grand, nothing grand, something grand, son grand, thing grand, time grand, tres grand
n03770679	minivan	[lemma] was *_VERB: minivan was parked	[lemma] is *_VERB: 	*_ADJ [lemma]: Aerostar minivan, blue minivan, first minivan, green minivan, new minivan, only minivan, other minivan, popular minivan, red minivan, white minivan	[lemma] in the *: minivan in the driveway, minivan in the garage, minivan in the parking	*_NOUN [lemma]: Chrysler minivan, Dodge minivan, Ford minivan, MPV minivan, Plymouth minivan, Toyota minivan, Voyager minivan, drive minivan, family minivan, passenger minivan
n03042490	cliff dwelling	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Anasazi cliff dwelling, Indian cliff dwelling, ancient cliff dwelling, large cliff dwelling, largest cliff dwelling, old cliff dwelling, prehistoric cliff dwelling, room cliff dwelling, small cliff dwelling, story cliff dwelling	[lemma] in the *: cliff dwelling in the Southwest	*_NOUN [lemma]: House cliff dwelling, Verde cliff dwelling
n04239074	sliding door	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big sliding door, double sliding door, heavy sliding door, large sliding door, little sliding door, low sliding door, open sliding door, slight sliding door, small sliding door, vertical sliding door	[lemma] in the *: sliding door in the back, sliding door in the bottom, sliding door in the bulkhead, sliding door in the front, sliding door in the middle, sliding door in the rear, sliding door in the side, sliding door in the wall	*_NOUN [lemma]: aluminum sliding door, glass sliding door, iron sliding door, metal sliding door, paper sliding door, patio sliding door, power sliding door, rear sliding door, side sliding door, steel sliding door
n02088238	basset	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: French basset, beloved basset, de basset, deep basset, eyed basset, first basset, legged basset, little basset, old basset, sad basset	[lemma] in the *: 	*_NOUN [lemma]: pet basset
n02088238	basset hound	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: eyed basset hound, fat basset hound, old basset hound, sad basset hound	[lemma] in the *: 	*_NOUN [lemma]: pet basset hound
n02823428	beer bottle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: broken beer bottle, brown beer bottle, cold beer bottle, empty beer bottle, full beer bottle, green beer bottle, large beer bottle, old beer bottle, ordinary beer bottle, small beer bottle	[lemma] in the *: beer bottle in the air, beer bottle in the other	*_NOUN [lemma]: amber beer bottle, ginger beer bottle, glass beer bottle, quart beer bottle, root beer bottle
n01773549	barn spider	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n01773549	Araneus cavaticus	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02093991	Irish terrier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: haired Irish terrier, large Irish terrier, little Irish terrier, old Irish terrier, scarum Irish terrier	[lemma] in the *: 	*_NOUN [lemma]: 
n02488702	colobus	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: African colobus, Olive colobus, Red colobus, andwhite colobus, beautiful colobus, black colobus, olive colobus, red colobus, white colobus, young colobus	[lemma] in the *: 	*_NOUN [lemma]: 
n02488702	colobus monkey	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Red colobus monkey, black colobus monkey, olive colobus monkey, red colobus monkey, white colobus monkey	[lemma] in the *: 	*_NOUN [lemma]: 
n02086240	Shih-Tzu	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03404251	fur coat	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big fur coat, expensive fur coat, great fur coat, heavy fur coat, long fur coat, new fur coat, old fur coat, short fur coat, thick fur coat, white fur coat	[lemma] in the *: fur coat in the closet, fur coat in the hall, fur coat in the middle	*_NOUN [lemma]: dollar fur coat, fox fur coat, imitation fur coat, lamb fur coat, livery fur coat, mink fur coat, rabbit fur coat, seal fur coat, velvet fur coat, winter fur coat
n07860988	dough	[lemma] was *_VERB: dough was baked, dough was kneaded, dough was left, dough was made, dough was mixed, dough was placed, dough was prepared, dough was put, dough was rolled, dough was spread	[lemma] is *_VERB: dough is allowed, dough is baked, dough is formed, dough is kneaded, dough is made, dough is placed, dough is put, dough is rising, dough is rolled, dough is used	*_ADJ [lemma]: Divide dough, bread dough, little dough, more dough, much dough, smooth dough, soft dough, sour dough, stiff dough, unleavened dough	[lemma] in the *: dough in the bowl, dough in the center, dough in the hands, dough in the middle, dough in the oven, dough in the pan, dough in the refrigerator, dough in the same, dough in the trough, dough in the usual	*_NOUN [lemma]: Place dough, biscuit dough, bread dough, cookie dough, flour dough, pastry dough, pie dough, pizza dough, play dough, yeast dough
n03761084	microwave	[lemma] was *_VERB: microwave was invented, microwave was used	[lemma] is *_VERB: microwave is being, microwave is used	*_ADJ [lemma]: active microwave, cosmic microwave, digital microwave, high microwave, new microwave, other microwave, passive microwave, power microwave, private microwave, terrestrial microwave	[lemma] in the *: microwave in the kitchen	*_NOUN [lemma]: MHz microwave, W microwave, band microwave, channel microwave, frequency microwave, incident microwave, noise microwave, power microwave, resolution microwave, state microwave
n03761084	microwave oven	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: commercial microwave oven, conventional microwave oven, domestic microwave oven, first microwave oven, large microwave oven, new microwave oven, portable microwave oven, small microwave oven, typical microwave oven, watt microwave oven	[lemma] in the *: microwave oven in the kitchen	*_NOUN [lemma]: Litton microwave oven, W microwave oven, consumer microwave oven, countertop microwave oven, home microwave oven, household microwave oven, kitchen microwave oven
n03775071	mitten	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Chinese mitten, black mitten, cold mitten, hand mitten, leathern mitten, old mitten, other mitten, red mitten, right mitten, skin mitten	[lemma] in the *: mitten in the snow	*_NOUN [lemma]: buckskin mitten, cotton mitten, fur mitten, hair mitten, lace mitten, leather mitten, silk mitten, wool mitten, woolen mitten, woollen mitten
n02105251	briard	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03657121	lens cap	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: front lens cap, rear lens cap	[lemma] in the *: 	*_NOUN [lemma]: Camera lens cap, camera lens cap
n03657121	lens cover	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: camera lens cover
n02100583	vizsla	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Hungarian vizsla	[lemma] in the *: 	*_NOUN [lemma]: 
n02100583	Hungarian pointer	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n04131690	saltshaker	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: glass saltshaker
n04131690	salt shaker	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: crystal salt shaker, empty salt shaker, large salt shaker, metal salt shaker, old salt shaker, ordinary salt shaker, plastic salt shaker, silver salt shaker, small salt shaker	[lemma] in the *: 	*_NOUN [lemma]: glass salt shaker, kitchen salt shaker
n02105056	groenendael	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02484975	guenon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: African guenon, crowned guenon, eared guenon, moustached guenon, nosed guenon, tailed guenon, throated guenon, une guenon	[lemma] in the *: 	*_NOUN [lemma]: forest guenon
n02484975	guenon monkey	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n04310018	steam locomotive	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: American steam locomotive, conventional steam locomotive, first steam locomotive, last steam locomotive, modern steam locomotive, old steam locomotive, ordinary steam locomotive, practical steam locomotive, small steam locomotive, successful steam locomotive	[lemma] in the *: steam locomotive in the United, steam locomotive in the world	*_NOUN [lemma]: Baldwin steam locomotive, Pacific steam locomotive, Railway steam locomotive, gauge steam locomotive, model steam locomotive, passenger steam locomotive, railway steam locomotive, reciprocating steam locomotive, type steam locomotive, vintage steam locomotive
n02095570	Lakeland terrier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02112350	keeshond	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02793495	barn	[lemma] was *_VERB: barn was built, barn was burned, barn was burnt, barn was erected, barn was filled, barn was fired, barn was set, barn was struck, barn was thatched, barn was used	[lemma] is *_VERB: barn is being, barn is built, barn is burned, barn is burning, barn is constructed, barn is filled, barn is kept, barn is located, barn is supported, barn is used	*_ADJ [lemma]: big barn, common barn, good barn, great barn, large barn, little barn, new barn, old barn, red barn, small barn	[lemma] in the *: barn in the country, barn in the county, barn in the field, barn in the middle, barn in the morning, barn in the neighborhood, barn in the neighbourhood, barn in the rear, barn in the same, barn in the village	*_NOUN [lemma]: car barn, cow barn, dairy barn, frame barn, hay barn, horse barn, livery barn, log barn, stone barn, tobacco barn
n03777754	modem	[lemma] was *_VERB: modem was connected, modem was considered, modem was designed, modem was detected, modem was developed, modem was found, modem was installed, modem was used	[lemma] is *_VERB: modem is attached, modem is connected, modem is designed, modem is installed, modem is needed, modem is receiving, modem is required, modem is set, modem is turned, modem is used	*_ADJ [lemma]: best modem, early modem, external modem, first modem, internal modem, many modem, more modem, most modem, null modem, other modem	[lemma] in the *: modem in the Modem, modem in the computer, modem in the form, modem in the list, modem in the same, modem in the sense, modem in the world	*_NOUN [lemma]: Hayes modem, Kbps modem, baud modem, bps modem, cable modem, computer modem, data modem, fax modem, telephone modem, word modem
n04590129	window shade	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: dark window shade, drawn window shade, flapping window shade, green window shade, new window shade, old window shade, opaque window shade, ordinary window shade, torn window shade, white window shade	[lemma] in the *: 	*_NOUN [lemma]: bedroom window shade, paper window shade, roller window shade
n02097130	giant schnauzer	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n04136333	sarong	[lemma] was *_VERB: sarong was caught, sarong was wrapped	[lemma] is *_VERB: sarong is worn	*_ADJ [lemma]: Malay sarong, blue sarong, coloured sarong, flowered sarong, native sarong, new sarong, red sarong, short sarong, white sarong, yellow sarong	[lemma] in the *: 	*_NOUN [lemma]: Celebes sarong, batik sarong, check sarong, cloth sarong, cotton sarong, kain sarong, plaid sarong, print sarong, silk sarong, towel sarong
n07583066	guacamole	[lemma] was *_VERB: 	[lemma] is *_VERB: guacamole is made	*_ADJ [lemma]: Holy guacamole, chunky guacamole, delicious guacamole, fresh guacamole, good guacamole, great guacamole, green guacamole, homemade guacamole, more guacamole, spicy guacamole	[lemma] in the *: 	*_NOUN [lemma]: cup guacamole, cups guacamole, tablespoons guacamole
n02454379	armadillo	[lemma] was *_VERB: 	[lemma] is *_VERB: armadillo is covered, armadillo is found	*_ADJ [lemma]: banded armadillo, extinct armadillo, giant armadillo, gigantic armadillo, great armadillo, hairy armadillo, headed armadillo, large armadillo, little armadillo, small armadillo	[lemma] in the *: 	*_NOUN [lemma]: Nileus armadillo, Spaniards armadillo, Texas armadillo, baby armadillo, gene armadillo, name armadillo, word armadillo
n03376595	folding chair	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: comfortable folding chair, empty folding chair, hard folding chair, light folding chair, little folding chair, own folding chair, rickety folding chair, single folding chair, small folding chair, wooden folding chair	[lemma] in the *: folding chair in the back, folding chair in the center, folding chair in the corner, folding chair in the front, folding chair in the middle, folding chair in the shade	*_NOUN [lemma]: aluminum folding chair, canvas folding chair, iron folding chair, metal folding chair, sidewalk folding chair, steel folding chair
n02879718	bow	[lemma] was *_VERB: bow was bent, bow was broken, bow was designed, bow was drawn, bow was held, bow was made, bow was placed, bow was seen, bow was strung, bow was used	[lemma] is *_VERB: bow is applied, bow is bent, bow is broken, bow is carried, bow is drawn, bow is formed, bow is held, bow is made, bow is seen, bow is used	*_ADJ [lemma]: larboard bow, large bow, little bow, long bow, low bow, polite bow, port bow, profound bow, slight bow, starboard bow	[lemma] in the *: bow in the air, bow in the cloud, bow in the clouds, bow in the direction, bow in the heavens, bow in the house, bow in the left, bow in the middle, bow in the other, bow in the sky	*_NOUN [lemma]: cross bow, lee bow, men bow, nations bow, people bow, ribbon bow, saddle bow, silver bow, violin bow, weather bow
n01990800	isopod	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: aquatic isopod, boring isopod, freshwater isopod, large isopod, little isopod, marine isopod, parasitic isopod, small isopod, terrestrial isopod, water isopod	[lemma] in the *: 	*_NOUN [lemma]: Socorro isopod, beach isopod, cave isopod, desert isopod, land isopod, water isopod
n02074367	dugong	[lemma] was *_VERB: 	[lemma] is *_VERB: dugong is found	*_ADJ [lemma]: Australian dugong, Dugong dugong, Halicore dugong, dead dugong, female dugong, first dugong, gigantic dugong, large dugong, male dugong, young dugong	[lemma] in the *: 	*_NOUN [lemma]: Sea dugong, baby dugong, charm dugong, mother dugong
n02074367	Dugong dugon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Dugong Dugong dugon, dugong Dugong dugon	[lemma] in the *: 	*_NOUN [lemma]: 
n04251144	snorkel	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: best snorkel, cleaner snorkel, day snorkel, first snorkel, good snorkel, hour snorkel, long snorkel, new snorkel, own snorkel, underwater snorkel	[lemma] in the *: snorkel in the clear	*_NOUN [lemma]: afternoon snorkel, air snorkel, intake snorkel, morning snorkel, people snorkel, rent snorkel, rents snorkel, rubber snorkel
n02108551	Tibetan mastiff	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03763968	military uniform	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: American military uniform, British military uniform, English military uniform, blue military uniform, full military uniform, gorgeous military uniform, modern military uniform, rich military uniform, splendid military uniform, undress military uniform	[lemma] in the *: 	*_NOUN [lemma]: States military uniform, U.S. military uniform, dress military uniform, khaki military uniform
n04277352	spindle	[lemma] was *_VERB: spindle was attached, spindle was broken, spindle was fitted, spindle was fixed, spindle was formed, spindle was found, spindle was made, spindle was performing, spindle was rotated, spindle was used	[lemma] is *_VERB: spindle is carried, spindle is driven, spindle is fitted, spindle is fixed, spindle is formed, spindle is made, spindle is mounted, spindle is provided, spindle is rotated, spindle is turned	*_ADJ [lemma]: central spindle, hollow spindle, horizontal spindle, main spindle, mitotic spindle, nuclear spindle, polar spindle, same spindle, small spindle, vertical spindle	[lemma] in the *: spindle in the center, spindle in the centre, spindle in the egg, spindle in the first, spindle in the form, spindle in the headstock, spindle in the middle, spindle in the other, spindle in the same, spindle in the usual	*_NOUN [lemma]: drill spindle, iron spindle, lathe spindle, machine spindle, maturation spindle, muscle spindle, steel spindle, valve spindle, wheel spindle, work spindle
